#{"t_start": 1747227380.172975, "env_id": "None"}
r,l,t
37.0,37,33.948996
14.0,14,33.968239
75.0,75,34.068338
27.0,27,34.118263
19.0,19,34.146866
32.0,32,34.18561
21.0,21,34.240678
11.0,11,34.281446
19.0,19,34.33569
33.0,33,34.380733
20.0,20,34.409778
17.0,17,34.437844
29.0,29,34.490332
17.0,17,34.505273
33.0,33,34.56635
8.0,8,34.579318
16.0,16,34.603672
21.0,21,34.63472
43.0,43,34.703902
43.0,43,34.75721
23.0,23,34.79575
43.0,43,34.85956
27.0,27,34.921314
14.0,14,34.939229
15.0,15,34.960883
35.0,35,35.007299
20.0,20,35.031035
32.0,32,35.077557
10.0,10,35.085896
21.0,21,35.110584
15.0,15,35.125161
40.0,40,35.164986
16.0,16,35.176987
18.0,18,35.205072
14.0,14,35.218488
9.0,9,35.23542
13.0,13,35.257792
30.0,30,35.312808
16.0,16,35.344784
36.0,36,35.401472
52.0,52,35.467684
17.0,17,35.49243
28.0,28,35.529448
27.0,27,35.570925
16.0,16,35.606194
9.0,9,35.630332
21.0,21,35.664129
14.0,14,35.686438
9.0,9,35.705596
13.0,13,35.72669
17.0,17,35.743945
28.0,28,35.807535
36.0,36,35.870334
14.0,14,35.891186
22.0,22,35.919658
12.0,12,35.94335
22.0,22,35.971093
16.0,16,35.984821
13.0,13,36.004138
24.0,24,36.035391
18.0,18,36.050889
21.0,21,36.101494
11.0,11,36.117071
16.0,16,36.144261
16.0,16,36.170326
31.0,31,36.217427
16.0,16,36.24899
24.0,24,36.272175
34.0,34,36.340561
17.0,17,36.364803
21.0,21,36.391532
